SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Actual,Churn_Probability,Risk,Annual_Revenue,Predicted_Churn
1,6,95.75,573.75,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7802794527865763,High,1149.0,1
1,7,89.0,605.45,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0,0.7802615831581698,High,1068.0,0
1,14,104.85,1531.4,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.779310890622243,High,1258.1999999999998,0
0,3,85.3,264.8,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,0.7774669111194957,High,1023.5999999999999,0
0,2,90.4,168.2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7749214062555032,High,1084.8000000000002,0
1,2,79.6,195.05,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,0.7737105379914707,High,955.1999999999999,1
0,3,89.45,240.45,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7735663383017097,High,1073.4,0
0,6,82.85,460.25,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,0.7706949410715911,High,994.1999999999999,0
0,3,94.9,273.2,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0,0.7686842662725799,High,1138.8000000000002,0
0,6,105.3,545.2,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7673184979771223,High,1263.6,0
1,3,77.0,237.75,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7659918301627129,High,924.0,0
0,1,74.5,74.5,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7598129409529305,High,894.0,0
1,2,86.85,156.35,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,1,0.7543971227596104,High,1042.1999999999998,0
0,8,87.05,762.1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,0.7535382493896396,High,1044.6,0
1,7,84.35,609.65,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,0,0.7520435712622804,High,1012.1999999999999,1
1,11,95.15,997.65,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,1,0.7471209486496436,High,1141.8000000000002,0
0,1,77.15,77.15,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7460097712495951,High,925.8000000000001,0
1,21,104.35,2271.85,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0,0.7457291727497537,High,1252.1999999999998,1
0,9,94.4,857.25,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0.7456190157214545,High,1132.8000000000002,1
1,8,75.75,606.25,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7452574260771062,High,909.0,0
0,7,98.05,713.0,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,1,0.7446721803001961,High,1176.6,0
1,7,75.4,533.05,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.7443202049217215,High,904.8000000000001,0
0,3,75.5,220.6,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7416518102715056,High,906.0,0
0,7,96.2,639.7,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0,0.7407392500260165,High,1154.4,0
1,1,69.6,69.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7402670000402042,High,835.1999999999999,0
0,23,93.5,2341.55,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0,0.7387644971250031,High,1122.0,0
0,10,94.9,1048.85,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7385934748513476,High,1138.8000000000002,0
1,15,91.5,1400.3,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0,0.7368343466011055,High,1098.0,0
0,3,75.85,256.6,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7367181732289808,High,910.1999999999999,0
0,2,79.95,174.45,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0,0.7360817269149423,High,959.4000000000001,0
0,12,106.7,1253.9,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7360613086838278,High,1280.4,0
1,8,85.2,695.75,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,0.7359869348241538,High,1022.4000000000001,0
0,4,74.35,265.35,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.735238906717309,High,892.1999999999999,0
1,1,69.75,69.75,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.734927957705717,High,837.0,1
0,4,75.65,302.35,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.7346556476107413,High,907.8000000000001,0
0,4,44.55,174.3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7342782705726042,High,534.5999999999999,0
0,10,85.6,813.85,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,0.7338225671194599,High,1027.1999999999998,1
0,10,89.5,863.1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7299219488194644,High,1074.0,0
0,4,76.05,318.9,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.728756378229063,High,912.5999999999999,0
1,2,70.65,142.35,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7277376273216372,High,847.8000000000001,0
1,3,41.15,132.2,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1,0.7272603327173749,High,493.79999999999995,0
0,17,102.55,1742.5,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0,0.7270737655573127,High,1230.6,0
0,2,80.95,171.15,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,0.7248922395732871,High,971.4000000000001,1
0,1,95.65,95.65,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,1,0.7235229286906878,High,1147.8000000000002,0
0,2,94.2,193.8,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,1,0.7221408974905773,High,1130.4,0
0,6,74.9,469.8,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7217985420860861,High,898.8000000000001,1
1,3,70.4,204.7,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7216863432915183,High,844.8000000000001,0
0,1,102.45,102.45,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7213449707996659,High,1229.4,0
0,6,90.75,512.25,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0,0.7187600798240871,High,1089.0,0
1,24,104.25,2433.9,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.7178368326735344,High,1251.0,0
1,11,78.5,874.2,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0,0.7178084801521631,High,942.0,0
1,9,84.4,732.5,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1,0.7165851009785894,High,1012.8000000000001,0
0,4,80.35,307.4,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1,0.714245805484383,High,964.1999999999999,0
1,17,100.45,1622.45,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,1,0.7141520005473141,High,1205.4,0
0,3,105.35,323.25,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,1,0.7136721294438284,High,1264.1999999999998,1
0,26,98.35,2515.3,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.712602882534687,High,1180.1999999999998,0
1,1,25.2,25.2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7120787014289456,High,302.4,0
0,1,35.55,35.55,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,0.7077727250485576,High,426.59999999999997,0
1,11,84.8,906.85,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1,0.7065719767392572,High,1017.5999999999999,0
1,4,70.2,280.35,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.7059185781925231,High,842.4000000000001,1
0,8,74.85,572.45,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.7055388249143477,High,898.1999999999999,0
1,4,99.8,442.85,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,1,0.7050007228092643,High,1197.6,0
0,1,74.5,74.5,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7049857232978421,High,894.0,0
1,14,74.95,1036.75,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7035240457712463,High,899.4000000000001,0
1,2,30.4,78.65,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7033981649454254,High,364.79999999999995,0
0,2,35.1,68.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,0.7004229143083833,High,421.20000000000005,0
0,1,69.1,69.1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.6996713347254963,High,829.1999999999999,0
0,2,67.75,116.65,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.6989615891828915,High,813.0,0
0,1,70.25,70.25,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.6978147941001613,High,843.0,0
0,1,70.25,70.25,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.6978147941001613,High,843.0,0
0,1,69.55,69.55,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.697016630268819,High,834.5999999999999,0
0,1,74.25,74.25,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0.6967406173755121,High,891.0,1
1,14,75.1,1013.35,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.6958302015685246,High,901.1999999999999,0
0,1,70.6,70.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.6957439605775809,High,847.1999999999999,0
0,1,69.9,69.9,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.6949427181810096,High,838.8000000000001,1
0,1,69.9,69.9,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.6949427181810096,High,838.8000000000001,0
0,9,99.3,918.75,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,0,0.6937194634939244,High,1191.6,0
1,21,95.4,2025.1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,0,0.6933129635575249,High,1144.8000000000002,0
1,35,95.45,3474.05,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.6926077113347041,High,1145.4,0
0,9,76.25,684.85,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.6922944262114071,High,915.0,0
0,1,70.35,70.35,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.692264599784804,High,844.1999999999999,0
1,1,69.25,69.25,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.6899836983165246,High,831.0,0
0,2,74.9,136.05,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.6898175393789783,High,898.8000000000001,0
